transaction_id,date,product_id,quantity,unit_price_egp,discount_egp
T00001,2026-03-29,P001,2,5990,1198
T00002,2026-03-29,P005,1,14990,0
T00003,2026-03-29,P006,2,1450,144
T00004,2026-03-30,P001,2,5990,0
T00005,2026-03-30,P003,3,1800,0
T00006,2026-03-30,P005,1,14990,0
T00007,2026-03-30,P006,1,1450,0
T00008,2026-03-30,P007,1,4200,0
T00009,2026-03-31,P001,2,5990,0
T00010,2026-03-31,P003,3,1800,0
T00011,2026-03-31,P006,5,1450,0
T00012,2026-04-02,P002,1,39990,0
T00013,2026-04-02,P003,4,1800,0
T00014,2026-04-02,P006,1,1450,0
T00015,2026-04-03,P001,5,5990,0
T00016,2026-04-03,P003,2,1800,0
T00017,2026-04-03,P005,3,14990,0
T00018,2026-04-03,P006,1,1450,0
T00019,2026-04-03,P008,4,3500,0
T00020,2026-04-04,P001,3,5990,0
T00021,2026-04-04,P003,14,1800,0
T00022,2026-04-04,P005,7,14990,0
T00023,2026-04-05,P001,1,5990,599
T00024,2026-04-05,P003,2,1800,0
T00025,2026-04-05,P005,2,14990,0
T00026,2026-04-05,P008,1,3500,0
T00027,2026-04-06,P003,5,1800,0
T00028,2026-04-06,P004,1,14990,0
T00029,2026-04-06,P008,2,3500,0
T00030,2026-04-07,P002,2,39990,0
T00031,2026-04-07,P003,10,1800,0
T00032,2026-04-07,P006,1,1450,0
T00033,2026-04-08,P003,7,1800,0
T00034,2026-04-08,P006,3,1450,0
T00035,2026-04-09,P001,6,5990,0
T00036,2026-04-09,P003,5,1800,0
T00037,2026-04-09,P006,6,1450,0
T00038,2026-04-10,P001,3,5990,900
T00039,2026-04-10,P003,14,1800,0
T00040,2026-04-10,P006,4,1450,0
T00041,2026-04-10,P008,4,3500,0
T00042,2026-04-11,P001,3,5990,0
T00043,2026-04-11,P003,2,1800,0
T00044,2026-04-11,P005,1,14990,0
T00045,2026-04-11,P006,11,1450,1595
T00046,2026-04-11,P008,1,3500,175
T00047,2026-04-12,P006,3,1450,0
T00048,2026-04-12,P008,5,3500,0
T00049,2026-04-13,P001,2,5990,0
T00050,2026-04-13,P007,1,4200,0
T00051,2026-04-13,P008,1,3500,0
T00052,2026-04-14,P001,8,5990,0
T00053,2026-04-14,P005,1,14990,0
T00054,2026-04-14,P006,1,1450,0
T00055,2026-04-15,P002,1,39990,2000
T00056,2026-04-15,P005,1,14990,0
T00057,2026-04-15,P006,5,1450,0
T00058,2026-04-16,P001,1,5990,0
T00059,2026-04-16,P003,3,1800,0
T00060,2026-04-16,P006,1,1450,0
T00061,2026-04-16,P008,1,3500,175
T00062,2026-04-17,P002,1,39990,0
T00063,2026-04-17,P003,8,1800,0
T00064,2026-04-17,P005,1,14990,0
T00065,2026-04-17,P006,2,1450,0
T00066,2026-04-18,P001,2,5990,0
T00067,2026-04-18,P008,1,3500,0
T00068,2026-04-19,P001,1,5990,0
T00069,2026-04-20,P001,1,5990,0
T00070,2026-04-20,P005,1,14990,0
T00071,2026-04-20,P006,3,1450,0
T00072,2026-04-21,P001,2,5990,0
T00073,2026-04-21,P006,2,1450,0
T00074,2026-04-22,P001,3,5990,0
T00075,2026-04-22,P003,5,1800,900
T00076,2026-04-22,P006,2,1450,0
T00077,2026-04-23,P006,3,1450,0
T00078,2026-04-24,P003,1,1800,0
T00079,2026-04-24,P005,1,14990,0
T00080,2026-04-25,P003,1,1800,0
T00081,2026-04-25,P005,3,14990,2250
T00082,2026-04-26,P001,1,5990,0
T00083,2026-04-26,P003,1,1800,180
T00084,2026-04-27,P001,1,5990,0
T00085,2026-04-27,P003,2,1800,0
T00086,2026-04-27,P006,1,1450,0
T00087,2026-04-28,P001,1,5990,0
T00088,2026-04-28,P003,3,1800,0
T00089,2026-04-28,P005,1,14990,0
T00090,2026-04-28,P006,1,1450,0
T00091,2026-04-29,P003,4,1800,0
T00092,2026-04-29,P005,2,14990,0
T00093,2026-04-29,P006,2,1450,0
T00094,2026-04-30,P003,3,1800,0
T00095,2026-04-30,P005,1,14990,0
T00096,2026-05-01,P001,5,5990,0
T00097,2026-05-01,P003,2,1800,0
T00098,2026-05-01,P006,3,1450,0
T00099,2026-05-01,P008,2,3500,0
T00100,2026-05-02,P002,1,39990,0
T00101,2026-05-02,P003,5,1800,0
T00102,2026-05-02,P005,1,14990,0
T00103,2026-05-02,P008,1,3500,0
T00104,2026-05-03,P003,1,1800,0
T00105,2026-05-04,P001,2,5990,0
T00106,2026-05-04,P003,5,1800,0
T00107,2026-05-04,P005,1,14990,0
T00108,2026-05-04,P008,1,3500,0
T00109,2026-05-05,P001,3,5990,0
T00110,2026-05-05,P003,1,1800,0
T00111,2026-05-05,P006,2,1450,0
T00112,2026-05-05,P008,2,3500,0
T00113,2026-05-06,P001,1,5990,599
